sample_id,d_path,d_name,batch_idx,batch_name,seq_no,code,spec_name,line_code,lot_id,test_case,fine_code,coarse_code,product_code,product_fine,product_coarse,is_special,tensor_path
B00_0022_124030411,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/022#HYZCS124030411.D,022#HYZCS124030411.D,0,20240304,22.0,HYZ,云烟（紫）,,124030411,CS124030411,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0018_B00_0022_124030411.npz
B00_0023_124030413,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/023#HYZCS124030413.D,023#HYZCS124030413.D,0,20240304,23.0,HYZ,云烟（紫）,,124030413,CS124030413,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0019_B00_0023_124030413.npz
B00_0024_124030414,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/024#HYZCS124030414.D,024#HYZCS124030414.D,0,20240304,24.0,HYZ,云烟（紫）,,124030414,CS124030414,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0020_B00_0024_124030414.npz
B00_0025_124030408,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/025#HRYCS124030408.D,025#HRYCS124030408.D,0,20240304,25.0,HRY,云烟（软如意）,,124030408,CS124030408,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRY/0021_B00_0025_124030408.npz
B00_0026_124030408,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/026#HRYCS124030408.D,026#HRYCS124030408.D,0,20240304,26.0,HRY,云烟（软如意）,,124030408,CS124030408,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRY/0022_B00_0026_124030408.npz
B00_0027_124030410,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/027#HRYCS124030410.D,027#HRYCS124030410.D,0,20240304,27.0,HRY,云烟（软如意）,,124030410,CS124030410,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRY/0023_B00_0027_124030410.npz
B00_0028_124030410,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/028#HRYCS124030410.D,028#HRYCS124030410.D,0,20240304,28.0,HRY,云烟（软如意）,,124030410,CS124030410,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRY/0024_B00_0028_124030410.npz
B00_0029_124030401,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/029#H88CS124030401.D,029#H88CS124030401.D,0,20240304,29.0,H88,红河（88）,,124030401,CS124030401,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0025_B00_0029_124030401.npz
B00_0030_124030404,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/030#H88CS124030404.D,030#H88CS124030404.D,0,20240304,30.0,H88,红河（88）,,124030404,CS124030404,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0026_B00_0030_124030404.npz
B00_0031_124030412,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/031#H88CS124030412.D,031#H88CS124030412.D,0,20240304,31.0,H88,红河（88）,,124030412,CS124030412,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0027_B00_0031_124030412.npz
B00_0032_124030415,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/032#H88CS124030415.D,032#H88CS124030415.D,0,20240304,32.0,H88,红河（88）,,124030415,CS124030415,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0028_B00_0032_124030415.npz
B00_0033_124030403,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/033#H99CS124030403.D,033#H99CS124030403.D,0,20240304,33.0,H99,红河（99）,,124030403,CS124030403,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H99/0029_B00_0033_124030403.npz
B00_0038_124030501,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/038#HYZCS124030501.D,038#HYZCS124030501.D,0,20240304,38.0,HYZ,云烟（紫）,,124030501,CS124030501,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0030_B00_0038_124030501.npz
B00_0039_124030504,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/039#HYZCS124030504.D,039#HYZCS124030504.D,0,20240304,39.0,HYZ,云烟（紫）,,124030504,CS124030504,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0031_B00_0039_124030504.npz
B00_0040_124030506,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/040#HYZCS124030506.D,040#HYZCS124030506.D,0,20240304,40.0,HYZ,云烟（紫）,,124030506,CS124030506,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0032_B00_0040_124030506.npz
B00_0041_124030508,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/041#HYZCS124030508.D,041#HYZCS124030508.D,0,20240304,41.0,HYZ,云烟（紫）,,124030508,CS124030508,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0033_B00_0041_124030508.npz
B00_0042_124030510,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/042#HYZCS124030510.D,042#HYZCS124030510.D,0,20240304,42.0,HYZ,云烟（紫）,,124030510,CS124030510,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0034_B00_0042_124030510.npz
B00_0043_124030512,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/043#HYZCS124030512.D,043#HYZCS124030512.D,0,20240304,43.0,HYZ,云烟（紫）,,124030512,CS124030512,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0035_B00_0043_124030512.npz
B00_0044_124030513,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/044#HYZCS124030513.D,044#HYZCS124030513.D,0,20240304,44.0,HYZ,云烟（紫）,,124030513,CS124030513,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0036_B00_0044_124030513.npz
B00_0045_124030514,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/045#HYZCS124030514.D,045#HYZCS124030514.D,0,20240304,45.0,HYZ,云烟（紫）,,124030514,CS124030514,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HYZ/0037_B00_0045_124030514.npz
B00_0046_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/046#HRLCS124030515.D,046#HRLCS124030515.D,0,20240304,46.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0038_B00_0046_124030515.npz
B00_0047_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/047#HRLCS124030515.D,047#HRLCS124030515.D,0,20240304,47.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0039_B00_0047_124030515.npz
B00_0048_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/048#HRLCS124030515.D,048#HRLCS124030515.D,0,20240304,48.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0040_B00_0048_124030515.npz
B00_0049_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/049#HRLCS124030515.D,049#HRLCS124030515.D,0,20240304,49.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0041_B00_0049_124030515.npz
B00_0050_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/050#HRLCS124030515.D,050#HRLCS124030515.D,0,20240304,50.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0042_B00_0050_124030515.npz
B00_0051_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/051#HRLCS124030515.D,051#HRLCS124030515.D,0,20240304,51.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0043_B00_0051_124030515.npz
B00_0052_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/052#HRLCS124030515.D,052#HRLCS124030515.D,0,20240304,52.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0044_B00_0052_124030515.npz
B00_0053_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/053#HRLCS124030515.D,053#HRLCS124030515.D,0,20240304,53.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0045_B00_0053_124030515.npz
B00_0054_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/054#HRLCS124030515.D,054#HRLCS124030515.D,0,20240304,54.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0046_B00_0054_124030515.npz
B00_0055_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/055#HRLCS124030515.D,055#HRLCS124030515.D,0,20240304,55.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0047_B00_0055_124030515.npz
B00_0056_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/056#HRLCS124030515.D,056#HRLCS124030515.D,0,20240304,56.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0048_B00_0056_124030515.npz
B00_0057_124030515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/057#HRLCS124030515.D,057#HRLCS124030515.D,0,20240304,57.0,HRL,云烟（软礼印象）,,124030515,CS124030515,HRL,HRL,HRL,HRL,HRL,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/HRL/0049_B00_0057_124030515.npz
B00_0058_124030503,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/058#H88CS124030503.D,058#H88CS124030503.D,0,20240304,58.0,H88,红河（88）,,124030503,CS124030503,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0050_B00_0058_124030503.npz
B00_0059_124030511,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/059#H88CS124030511.D,059#H88CS124030511.D,0,20240304,59.0,H88,红河（88）,,124030511,CS124030511,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H88/0051_B00_0059_124030511.npz
B00_0060_124030502,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/060#H99CS124030502.D,060#H99CS124030502.D,0,20240304,60.0,H99,红河（99）,,124030502,CS124030502,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H99/0052_B00_0060_124030502.npz
B00_0061_124030505,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240304/061#H99CS124030505.D,061#H99CS124030505.D,0,20240304,61.0,H99,红河（99）,,124030505,CS124030505,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240304/H99/0053_B00_0061_124030505.npz
B01_0066_124030602,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/066#HYZCS124030602.D,066#HYZCS124030602.D,1,20240308,66.0,HYZ,云烟（紫）,,124030602,CS124030602,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HYZ/0054_B01_0066_124030602.npz
B01_0067_124030603,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/067#HYZCS124030603.D,067#HYZCS124030603.D,1,20240308,67.0,HYZ,云烟（紫）,,124030603,CS124030603,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HYZ/0055_B01_0067_124030603.npz
B01_0068_124030605,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/068#HYZCS124030605.D,068#HYZCS124030605.D,1,20240308,68.0,HYZ,云烟（紫）,,124030605,CS124030605,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HYZ/0056_B01_0068_124030605.npz
B01_0069_124030607,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/069#HYZCS124030607.D,069#HYZCS124030607.D,1,20240308,69.0,HYZ,云烟（紫）,,124030607,CS124030607,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HYZ/0057_B01_0069_124030607.npz
B01_0070_124030609,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/070#HYZCS124030609.D,070#HYZCS124030609.D,1,20240308,70.0,HYZ,云烟（紫）,,124030609,CS124030609,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HYZ/0058_B01_0070_124030609.npz
B01_0071_124030613,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/071#HYZCS124030613.D,071#HYZCS124030613.D,1,20240308,71.0,HYZ,云烟（紫）,,124030613,CS124030613,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HYZ/0059_B01_0071_124030613.npz
B01_0072_124030615,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/072#HYZCS124030615.D,072#HYZCS124030615.D,1,20240308,72.0,HYZ,云烟（紫）,,124030615,CS124030615,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HYZ/0060_B01_0072_124030615.npz
B01_0073_124030616,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/073#HYZCS124030616.D,073#HYZCS124030616.D,1,20240308,73.0,HYZ,云烟（紫）,,124030616,CS124030616,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HYZ/0061_B01_0073_124030616.npz
B01_0074_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/074#HRYCS124030608.D,074#HRYCS124030608.D,1,20240308,74.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0062_B01_0074_124030608.npz
B01_0075_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/075#HRYCS124030608.D,075#HRYCS124030608.D,1,20240308,75.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0063_B01_0075_124030608.npz
B01_0076_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/076#HRYCS124030608.D,076#HRYCS124030608.D,1,20240308,76.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0064_B01_0076_124030608.npz
B01_0077_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/077#HRYCS124030608.D,077#HRYCS124030608.D,1,20240308,77.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0065_B01_0077_124030608.npz
B01_0078_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/078#HRYCS124030608.D,078#HRYCS124030608.D,1,20240308,78.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0066_B01_0078_124030608.npz
B01_0079_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/079#HRYCS124030608.D,079#HRYCS124030608.D,1,20240308,79.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0067_B01_0079_124030608.npz
B01_0080_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/080#HRYCS124030608.D,080#HRYCS124030608.D,1,20240308,80.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0068_B01_0080_124030608.npz
B01_0081_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/081#HRYCS124030608.D,081#HRYCS124030608.D,1,20240308,81.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0069_B01_0081_124030608.npz
B01_0082_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/082#HRYCS124030608.D,082#HRYCS124030608.D,1,20240308,82.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0070_B01_0082_124030608.npz
B01_0083_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/083#HRYCS124030608.D,083#HRYCS124030608.D,1,20240308,83.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0071_B01_0083_124030608.npz
B01_0084_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/084#HRYCS124030608.D,084#HRYCS124030608.D,1,20240308,84.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0072_B01_0084_124030608.npz
B01_0085_124030608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20240308/085#HRYCS124030608.D,085#HRYCS124030608.D,1,20240308,85.0,HRY,云烟（软如意）,,124030608,CS124030608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20240308/HRY/0073_B01_0085_124030608.npz
